dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
SI216,pca10,31,72,2.5484848484848484,2.89762494174631,-0.0971316054715623
SI216,regular,32,73,2.4430303030303033,2.9327991937927,-0.0007294658119658681
SI216,pca10,32,73,2.6224242424242425,3.255207172727066,-0.2328473290598292
SI216,regular,33,74,2.8484848484848486,3.2975616948456223,-0.7176807948941109
SI216,pca10,33,74,2.9139393939393936,3.19916687387024,-0.6167035393095441
SI216,regular,34,75,2.8421212121212123,3.346566610842832,-0.1783830241545894
SI216,pca10,34,75,2.737878787878788,3.178680400875352,-0.06311747826086922
SI216,regular,35,76,2.3433333333333333,2.8237576154314437,-0.06963021680216808
SI216,pca10,35,76,2.5812121212121215,3.085850733181167,-0.2774051490514904
SI216,regular,36,77,2.1709090909090905,2.86103957937451,-0.1707461518255846
SI216,pca10,36,77,2.0812121212121215,2.9378632378040344,-0.23446322563698474
SI216,regular,37,78,4.016666666666666,4.3822480509206665,-1.8200192421790722
SI216,pca10,37,78,3.8184848484848484,4.314683995357943,-1.7337333198489753
SI216,regular,38,79,2.179090909090909,2.4543350639349564,0.21626340501792107
SI216,pca10,38,79,2.303636363636364,2.709320612592423,0.04495634408602145
SI216,regular,39,80,3.2196969696969693,3.8715521643930044,-0.410310152064973
SI216,pca10,39,80,4.091212121212121,4.642643469386636,-1.0280332382927249
SI216,regular,40,81,2.77,3.002723174827554,0.10428742017879944
SI216,pca10,40,81,2.8012121212121213,3.203668982509733,-0.01960828316000751
SI216,regular,41,82,2.15,2.5963013708121037,0.24056380095178986
SI216,pca10,41,82,2.0633333333333335,2.6246279197577165,0.22390197599834483
SI216,regular,42,83,2.156969696969697,2.638150561252785,0.04519223985890619
SI216,pca10,42,83,1.8363636363636366,2.4081884721034017,0.20439458301839242
SI216,regular,43,84,2.643939393939394,3.0089564955178716,-0.0999117692994198
SI216,pca10,43,84,2.547272727272727,2.8744703508611456,-0.0037873047746543875
SI216,regular,44,85,2.516666666666667,3.139895610437462,0.13680732432867038
SI216,pca10,44,85,2.6896969696969695,3.3195606378379097,0.0351972342820388
SI216,regular,45,86,2.653030303030303,3.080591081942135,-0.329045151748971
